raceid,year,driverid,max_points
401,1987,112,3
288,1993,104,5
994,2018,807,26
788,1956,625,0
155,2001,22,54
684,1967,278,15
40,2007,15,4
816,1953,518,2
736,1962,346,0
427,1985,102,9
1062,2021,839,39
293,1992,95,50
257,1994,94,0
621,1972,306,0
794,1955,654,1
655,1970,317,4
773,1958,580,0
183,1999,70,0
845,2011,67,6
842,2011,30,2
584,1975,291,0
850,2011,17,139
431,1985,175,11
377,1988,78,0
374,1988,110,0
931,2015,833,0
749,1960,506,0
512,1979,202,0
505,1980,178,37
777,1957,498,1
559,1977,268,0
761,1959,551,0
305,1991,100,0
1051,2021,847,16
939,2015,813,12
735,1962,462,0
604,1974,223,52
545,1977,255,2
15,2009,5,22
444,1984,188,0
1135,2024,815,139
760,1959,364,0
829,1951,723,0
588,1975,292,0
812,1953,653,0
260,1994,103,0
552,1977,239,0
1113,2023,842,45
781,1957,498,1
568,1976,221,26
464,1983,173,2
1066,2021,822,151
737,1962,446,0
309,1991,88,1
1028,2019,8,31
509,1980,187,3
323,1990,103,0
556,1977,187,9
387,1988,94,1
864,2012,813,29
396,1987,95,30
562,1976,252,4
1128,2024,857,71
739,1961,404,0
304,1992,109,0
614,1973,331,0
804,1954,593,0
209,1997,49,0
783,1957,513,0
573,1976,284,0
671,1968,293,0
572,1976,230,1
1017,2019,846,14
820,1952,736,0
371,1989,160,0
855,2011,815,13
520,1979,152,0
333,1990,77,40
881,2013,823,0
908,2014,13,30
1052,2021,849,0
509,1980,223,0
801,1954,799,0
585,1975,289,0
528,1978,207,12
357,1989,112,0
326,1990,109,0
607,1973,235,5
126,2002,14,4
1137,2024,848,12
322,1990,81,0
1139,2024,817,12
716,1964,431,0
917,2014,8,53
445,1984,175,8
959,2016,835,0
278,1993,84,5
1134,2024,840,24
400,1987,156,4
331,1990,110,0
361,1989,133,4
446,1984,191,0
400,1987,112,2
812,1953,663,0
243,1995,63,0
750,1960,477,6
675,1968,235,27
938,2015,18,6
699,1965,374,3
277,1993,109,5
927,2015,828,4
807,1954,615,0
673,1968,278,10
476,1982,152,0
520,1979,223,16
556,1977,119,0
838,1950,778,0
290,1992,100,0
234,1996,65,4
204,1998,64,3
807,1954,613,0
1092,2022,4,65
555,1977,231,22
18,2008,8,1
746,1960,496,3
523,1979,235,3
1074,2022,830,0
424,1985,117,22
380,1988,123,12
335,1990,146,0
299,1992,30,33
326,1990,102,31
184,1999,70,0
117,2003,44,2
1051,2021,9,0
167,2000,25,0
394,1987,84,2
970,2017,828,0
1125,2024,858,0
954,2016,825,6
477,1982,205,0
764,1959,347,10
611,1973,329,0
603,1974,251,0
491,1981,207,3
968,2016,832,46
744,1961,385,0
771,1958,289,0
541,1978,229,0
1087,2022,852,11
484,1981,203,0
1014,2019,825,14
265,1994,77,27
510,1980,222,2
1108,2023,1,121
1134,2024,858,0
970,2017,832,10
1136,2024,844,217
535,1978,232,0
292,1992,79,0
262,1994,104,3
796,1955,577,4
294,1992,94,2
536,1978,233,2
70,2006,13,80
204,1998,73,0
567,1976,250,4
955,2016,825,6
266,1994,111,0
759,1959,483,0
701,1965,385,6
566,1976,252,4
1008,2018,842,29
241,1995,71,10
594,1974,250,3
534,1978,230,0
799,1954,496,0
725,1963,373,51
566,1976,254,0
744,1961,447,0
664,1969,321,0
318,1991,127,0
127,2002,63,2
620,1972,280,0
795,1955,563,0
569,1976,281,0
1134,2024,852,22
356,1989,148,0
830,1951,704,2
640,1971,338,0
544,1977,230,0
498,1980,158,0
828,1951,498,3
307,1991,129,0
317,1991,30,3
740,1961,475,12
1132,2024,839,3
824,1952,740,0
343,2010,67,1
725,1963,438,0
814,1953,449,0
479,1982,170,0
760,1959,511,0
544,1977,199,13
71,2005,30,0
1036,2020,842,14
826,1951,765,0
285,1993,123,0
138,2002,66,0
196,1998,75,0
847,2011,4,69
787,1956,627,0
711,1964,289,14
745,1961,441,0
257,1994,102,0
807,1954,519,0
416,1986,110,0
169,2000,48,0
987,2017,13,42
86,2005,35,9
27,2008,18,3
670,1968,345,6
905,2014,16,0
37,2007,2,10
564,1976,238,0
1130,2024,848,2
428,1985,181,0
1118,2023,830,524
402,1987,145,0
693,1966,373,3
649,1970,339,0
597,1974,308,0
1140,2024,832,240
648,1970,341,1
69,2006,11,0
820,1952,647,18
406,1986,175,0
761,1959,514,0
807,1954,529,0
806,1954,686,0
415,1986,84,5
97,2004,8,5
299,1992,94,2
631,1972,250,3
509,1980,227,0
960,2016,807,45
759,1959,364,0
219,1997,79,0
205,1998,74,0
703,1965,417,0
217,1997,35,53
303,1992,109,0
711,1964,373,21
44,2007,25,8
1021,2019,1,250
251,1995,30,66
46,2007,14,8
978,2017,841,0
859,2011,813,1
474,1982,173,10
534,1978,163,0
873,2012,814,44
632,1971,280,0
490,1981,177,0
258,1994,57,0
547,1977,199,19
511,1980,224,5
423,1985,94,0
272,1994,14,14
415,1986,158,0
634,1971,312,0
614,1973,307,0
719,1963,373,0
316,1991,140,0
426,1985,102,9
755,1960,360,34
103,2004,45,0
98,2004,46,0
1005,2018,817,146
823,1952,699,0
602,1974,224,43
811,1953,701,0
68,2006,24,1
403,1987,112,3
891,2013,817,12
601,1974,267,0
530,1978,211,0
520,1979,233,0
362,1989,103,0
810,1953,651,0
517,1979,172,24
973,2017,830,35
399,1987,167,0
225,1996,69,0
246,1995,49,4
795,1955,611,0
436,1984,95,0
763,1959,543,0
356,1989,129,0
438,1984,118,10
401,1987,170,12
366,1989,129,1
803,1954,648,6
816,1953,656,6
755,1960,505,0
752,1960,503,0
629,1972,290,0
972,2017,822,63
752,1960,531,0
740,1961,481,0
679,1967,293,0
762,1959,528,0
380,1988,118,9
667,1968,358,4
583,1975,267,0
1102,2023,852,2
